Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

10:35:13 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:35:14 AM     all      0.17      0.00     15.89      0.00      0.00     83.94
10:35:15 AM     all      0.09      0.00     15.09      0.00      0.00     84.82
10:35:16 AM     all      0.09      0.00     13.16      0.18      0.00     86.58
10:35:17 AM     all      0.00      0.00     12.69      0.00      0.00     87.31
10:35:18 AM     all      0.18      0.00     11.48      0.00      0.00     88.34
10:35:19 AM     all      0.18      0.00     12.38      0.00      0.00     87.44
10:35:20 AM     all      0.09      0.00     13.37      0.00      0.00     86.54
10:35:21 AM     all      0.09      0.00     12.60      0.18      0.00     87.13
10:35:22 AM     all      0.09      0.00     12.30      0.00      0.00     87.61
10:35:23 AM     all      0.18      0.00     12.44      0.00      0.00     87.38
10:35:24 AM     all      0.09      0.00     12.07      0.00      0.00     87.84
10:35:25 AM     all      0.00      0.00     12.15      0.00      0.00     87.85
10:35:26 AM     all      0.09      0.00     11.83      0.00      0.00     88.08
10:35:27 AM     all      0.18      0.00     12.68      0.18      0.00     86.96
10:35:28 AM     all      0.09      0.00     12.38      0.00      0.00     87.53
10:35:29 AM     all      0.18      0.00     13.07      0.00      0.00     86.76
10:35:30 AM     all      0.18      0.00     12.59      0.54      0.00     86.70
10:35:31 AM     all      0.09      0.00     12.29      0.00      0.00     87.62
10:35:32 AM     all      0.09      0.00     12.78      0.09      0.00     87.04
10:35:33 AM     all      0.18      0.00     12.52      0.00      0.00     87.30
10:35:34 AM     all      0.00      0.00     12.70      0.00      0.00     87.30
10:35:35 AM     all      0.18      0.00     12.44      0.00      0.00     87.38
10:35:36 AM     all      0.18      0.00     12.82      0.00      0.00     87.00
10:35:37 AM     all      0.09      0.00     12.53      0.18      0.00     87.20
10:35:38 AM     all      0.09      0.00     12.52      0.00      0.00     87.39
10:35:39 AM     all      0.09      0.00     12.21      0.00      0.00     87.70
10:35:40 AM     all      0.09      0.00     12.54      0.00      0.00     87.37
Average:        all      0.11      0.00     12.73      0.05      0.00     87.11
