#workload, ecmp_avg, ecmp_min, ecmp_max; mptcp_avg, mptcp_min, mptcp_max; presto_avg, presto_min, presto_max; optimal_avg, optimal_min, optimal_max
"Shuffle" 2872.217527 2750.857638 2980.666713	2921.402142 2818.849313 2978.020391	2956.785728 2848.638215 3100.326536	3097.164133 2845.554770 3355.369661
"Random" 4525.256724 3099.777494 5505.230618    5335.995243 4232.247738 6711.299140     6232.240475 4874.578114 7645.032819     6358.388145 4861.054712 8228.368000
"Stride" 5324.197910 3925.288088 6378.412425	7396.235508 7159.765469 7692.572006	9121.462080 8905.289350 9235.966888	9265.362822 9193.789744 9312.239794
"Bijection" 5275.530154 3870.548950 6458.341306	7095.156688 6767.243163 7636.956931	9051.842644 8609.838494 9250.557275	9160.043174 9089.498869 9255.390556
