Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

06:45:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:45:05 PM     all      0.18      0.00     41.66      0.00      0.00     58.16
06:45:06 PM     all      0.18      0.00     41.59      0.00      0.00     58.23
06:45:07 PM     all      0.09      0.00     47.55      0.00      0.00     52.36
06:45:08 PM     all      0.17      0.00     47.18      0.00      0.00     52.65
06:45:09 PM     all      0.17      0.00     47.88      0.00      0.00     51.95
06:45:10 PM     all      0.26      0.00     47.82      0.17      0.00     51.75
06:45:11 PM     all      0.09      0.00     47.86      0.00      0.00     52.05
06:45:12 PM     all      0.25      0.00     48.13      0.00      0.00     51.61
06:45:13 PM     all      0.26      0.00     47.82      0.00      0.00     51.92
06:45:14 PM     all      0.26      0.00     48.30      0.00      0.00     51.45
06:45:15 PM     all      0.17      0.00     48.08      0.17      0.00     51.58
06:45:16 PM     all      0.09      0.00     47.64      0.00      0.00     52.28
06:45:17 PM     all      0.00      0.00     48.99      0.00      0.00     51.01
06:45:18 PM     all      0.26      0.00     47.79      0.00      0.00     51.96
06:45:19 PM     all      0.17      0.00     48.44      0.00      0.00     51.39
06:45:20 PM     all      0.17      0.00     47.42      0.00      0.00     52.41
06:45:21 PM     all      0.17      0.00     47.42      0.00      0.00     52.41
06:45:22 PM     all      0.08      0.00     48.14      0.00      0.00     51.78
06:45:23 PM     all      0.00      0.00     46.98      0.00      0.00     53.02
06:45:24 PM     all      0.17      0.00     46.15      0.00      0.00     53.68
06:45:25 PM     all      0.09      0.00     45.20      0.00      0.00     54.71
06:45:26 PM     all      0.09      0.00     45.17      0.09      0.00     54.66
06:45:27 PM     all      0.17      0.00     45.50      0.00      0.00     54.33
06:45:28 PM     all      0.18      0.00     44.52      0.00      0.00     55.30
06:45:29 PM     all      0.00      0.00     42.86      0.00      0.00     57.14
06:45:30 PM     all      0.27      0.00     41.59      0.00      0.00     58.15
06:45:31 PM     all      0.09      0.00     41.76      0.00      0.00     58.15
Average:        all      0.15      0.00     46.32      0.02      0.00     53.51
