Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

11:23:21 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:23:22 AM     all      0.00      0.00     25.33      0.00      0.00     74.67
11:23:23 AM     all      0.11      0.00     19.37      0.00      0.00     80.53
11:23:24 AM     all      0.22      0.00     14.44      0.00      0.00     85.34
11:23:25 AM     all      0.11      0.00     15.43      0.00      0.00     84.46
11:23:26 AM     all      0.00      0.00     16.86      0.00      0.00     83.14
11:23:27 AM     all      0.11      0.00     19.14      0.00      0.00     80.76
11:23:28 AM     all      0.10      0.00     17.15      0.00      0.00     82.75
11:23:29 AM     all      0.00      0.00     18.97      0.10      0.00     80.93
11:23:30 AM     all      0.00      0.00     23.71      0.00      0.00     76.29
11:23:31 AM     all      0.11      0.00     15.77      0.00      0.00     84.12
11:23:32 AM     all      0.00      0.00     18.12      0.00      0.00     81.88
11:23:33 AM     all      0.10      0.00     17.63      0.00      0.00     82.27
11:23:34 AM     all      0.10      0.00     17.39      0.10      0.00     82.40
11:23:35 AM     all      0.10      0.00     18.15      0.00      0.00     81.74
11:23:36 AM     all      0.10      0.00     17.71      0.00      0.00     82.18
11:23:37 AM     all      0.10      0.00     18.17      0.00      0.00     81.72
11:23:38 AM     all      0.10      0.00     17.97      0.00      0.00     81.93
11:23:39 AM     all      0.00      0.00     17.71      0.10      0.00     82.18
11:23:40 AM     all      0.10      0.00     17.80      0.00      0.00     82.10
11:23:41 AM     all      0.00      0.00     18.15      0.00      0.00     81.85
11:23:42 AM     all      0.11      0.00     17.49      0.00      0.00     82.40
11:23:43 AM     all      0.10      0.00     17.71      0.00      0.00     82.18
11:23:44 AM     all      0.21      0.00     18.05      0.00      0.00     81.74
11:23:45 AM     all      0.00      0.00     18.11      0.00      0.00     81.89
11:23:46 AM     all      0.21      0.00     17.51      0.00      0.00     82.29
11:23:47 AM     all      0.10      0.00     17.99      0.00      0.00     81.91
11:23:48 AM     all      0.00      0.00     18.36      0.00      0.00     81.64
Average:        all      0.08      0.00     18.19      0.01      0.00     81.72
