#CWND, tput
0 0
1 354.5434
2 639.7220
4 1165.8034
8 2114.5126
16 3605.5066 #double check, 3490.3679
32 3702.7398 #double check, 3994.9127
64 6083.1040
128 8960.0967
160 9222.5610
256 9297.5587 
