1 5786.5702
2 9005.6930
3 9391.8886
4 9391.6461
5 9387.2091
6 9393.3112
7 9391.1687
8 9392.8151
9 9389.5114
10 9392.1345
11 9351.3791
12 7998.7857
13 7238.8878
14 7154.0549
15 7184.0887
16 7289.8456
17 7475.9945
18 7593.0429
19 7799.7685
20 7839.5922
21 7857.0171
22 7798.1799
23 7705.1368
24 7687.6595
25 7392.1657
26 7026.7791
27 6655.2653
28 6898.8713
29 6813.8921
30 6663.2074
31 6538.8284
32 6482.5950
33 6585.8819
34 6717.1641
35 6629.6416
36 6744.4525
37 6758.5995
38 6773.2428
39 6787.8685
40 6741.2547
41 6758.7656
42 6755.6847
43 6757.9236
44 6715.9278
45 6633.9753
46 6578.1317
47 6522.7673
48 6516.3039
49 6495.2954
50 6452.4963
51 6374.2744
52 6325.5909
53 6322.0607
54 6287.0203
55 6299.3329
56 6301.9682
57 6281.1838
58 6291.8545
59 6305.9847
60 6301.4540
61 6286.4357
62 6212.8563
63 6212.5308
64 6331.8072
65 6311.2780
66 6212.9806
67 6119.7323
68 6134.5651
69 6084.2030
70 6109.4853
71 6139.9760
72 6409.8182
73 6758.2413
74 6760.5721
75 6717.6283
76 6771.8895
77 6778.0064
78 6755.0523
79 6788.3708
80 6768.2197
81 6760.0410
82 6720.0211
83 6683.8507
84 6658.7888
85 6566.3733
86 6552.4925
87 6489.1983
88 6359.1047
89 6195.9760
90 6275.2031
91 6252.1344
92 6238.0036
93 6140.8134
94 6071.1822
95 6016.7592
96 6110.9665
97 6189.8617
