Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

06:45:51 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:45:52 PM     all      0.09      0.00     40.70      0.00      0.00     59.21
06:45:53 PM     all      0.00      0.00     34.99      0.00      0.00     65.01
06:45:54 PM     all      0.36      0.00     38.25      0.00      0.00     61.39
06:45:55 PM     all      0.17      0.00     44.09      0.00      0.00     55.73
06:45:56 PM     all      0.00      0.00     46.11      0.00      0.00     53.89
06:45:57 PM     all      0.17      0.00     46.76      0.00      0.00     53.07
06:45:58 PM     all      0.17      0.00     47.55      0.00      0.00     52.28
06:45:59 PM     all      0.09      0.00     47.90      0.00      0.00     52.01
06:46:00 PM     all      0.26      0.00     47.21      0.00      0.00     52.54
06:46:01 PM     all      0.26      0.00     45.28      0.00      0.00     54.46
06:46:02 PM     all      0.09      0.00     47.06      0.00      0.00     52.85
06:46:03 PM     all      0.17      0.00     47.53      0.00      0.00     52.30
06:46:04 PM     all      0.09      0.00     47.40      0.00      0.00     52.52
06:46:05 PM     all      0.17      0.00     46.56      0.00      0.00     53.26
06:46:06 PM     all      0.17      0.00     47.11      0.00      0.00     52.72
06:46:07 PM     all      0.25      0.00     46.73      0.00      0.00     53.02
06:46:08 PM     all      0.17      0.00     46.59      0.00      0.00     53.24
06:46:09 PM     all      0.17      0.00     46.82      0.00      0.00     53.01
06:46:10 PM     all      0.17      0.00     46.98      0.00      0.00     52.85
06:46:11 PM     all      0.25      0.00     47.45      0.17      0.00     52.13
06:46:12 PM     all      0.09      0.00     45.97      0.00      0.00     53.94
06:46:13 PM     all      0.17      0.00     46.76      0.00      0.00     53.07
06:46:14 PM     all      0.09      0.00     46.54      0.00      0.00     53.38
06:46:15 PM     all      0.00      0.00     46.99      0.00      0.00     53.01
06:46:16 PM     all      0.09      0.00     46.76      0.09      0.00     53.07
06:46:17 PM     all      0.25      0.00     46.77      0.00      0.00     52.97
06:46:18 PM     all      0.17      0.00     47.04      0.00      0.00     52.79
Average:        all      0.15      0.00     45.84      0.01      0.00     54.00
