Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

06:36:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:36:36 PM     all      0.18      0.00     43.42      0.18      0.00     56.22
06:36:37 PM     all      0.26      0.00     47.42      0.00      0.00     52.32
06:36:38 PM     all      0.26      0.00     47.44      0.00      0.00     52.30
06:36:39 PM     all      0.17      0.00     46.75      0.00      0.00     53.08
06:36:40 PM     all      0.09      0.00     46.27      0.00      0.00     53.64
06:36:41 PM     all      0.09      0.00     44.61      0.00      0.00     55.30
06:36:42 PM     all      0.18      0.00     42.01      0.00      0.00     57.81
06:36:43 PM     all      0.09      0.00     37.82      0.00      0.00     62.09
06:36:44 PM     all      0.19      0.00     36.18      0.00      0.00     63.63
06:36:45 PM     all      0.19      0.00     35.37      0.00      0.00     64.45
06:36:46 PM     all      0.00      0.00     34.64      0.09      0.00     65.27
06:36:47 PM     all      0.09      0.00     33.40      0.00      0.00     66.51
06:36:48 PM     all      0.09      0.00     30.59      0.00      0.00     69.31
06:36:49 PM     all      0.19      0.00     29.00      0.00      0.00     70.81
06:36:50 PM     all      0.82      0.00     24.32      0.00      0.00     74.86
06:36:51 PM     all      0.69      0.00     31.23      0.09      0.00     67.99
06:36:52 PM     all      0.26      0.00     39.71      0.00      0.00     60.03
06:36:53 PM     all      0.09      0.00     39.70      0.09      0.00     60.12
06:36:54 PM     all      0.17      0.00     44.43      0.09      0.00     55.32
06:36:55 PM     all      0.09      0.00     45.55      0.00      0.00     54.37
06:36:56 PM     all      0.08      0.00     46.95      0.00      0.00     52.96
06:36:57 PM     all      0.09      0.00     46.04      0.00      0.00     53.87
06:36:58 PM     all      0.09      0.00     45.08      0.00      0.00     54.84
06:36:59 PM     all      0.26      0.00     44.30      0.00      0.00     55.44
06:37:00 PM     all      0.17      0.00     43.62      0.00      0.00     56.21
06:37:01 PM     all      0.17      0.00     43.10      0.00      0.00     56.73
06:37:02 PM     all      0.09      0.00     42.22      0.00      0.00     57.70
Average:        all      0.19      0.00     40.59      0.02      0.00     59.20
