Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

04:55:12 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:55:13 PM     all      0.00      0.00      0.59      0.00      0.00     99.41
04:55:14 PM     all      0.00      0.00      1.10      0.00      0.00     98.90
04:55:15 PM     all      0.00      0.00      0.93      0.08      0.00     98.99
04:55:16 PM     all      0.00      0.00      0.76      0.00      0.00     99.24
04:55:17 PM     all      0.08      0.00      0.68      0.00      0.00     99.24
04:55:18 PM     all      0.00      0.00      1.01      0.00      0.00     98.99
04:55:19 PM     all      0.00      0.00      1.27      0.00      0.00     98.73
04:55:20 PM     all      0.00      0.00      0.85      0.00      0.00     99.15
04:55:21 PM     all      0.08      0.00      1.10      0.08      0.00     98.73
04:55:22 PM     all      0.00      0.00      0.76      0.00      0.00     99.24
04:55:23 PM     all      0.00      0.00      1.01      0.00      0.00     98.99
04:55:24 PM     all      0.00      0.00      1.18      0.00      0.00     98.82
04:55:25 PM     all      0.00      0.00      1.01      0.00      0.00     98.99
04:55:26 PM     all      0.00      0.00      1.02      0.00      0.00     98.98
04:55:27 PM     all      0.00      0.00      1.35      0.08      0.00     98.56
04:55:28 PM     all      0.08      0.00      1.19      0.00      0.00     98.73
04:55:29 PM     all      0.00      0.00      1.02      0.00      0.00     98.98
04:55:30 PM     all      0.00      0.00      1.19      0.00      0.00     98.81
04:55:31 PM     all      0.00      0.00      1.10      0.00      0.00     98.90
04:55:32 PM     all      0.00      0.00      1.19      0.00      0.00     98.81
04:55:33 PM     all      0.08      0.00      1.27      0.17      0.00     98.48
04:55:34 PM     all      0.00      0.00      1.27      0.00      0.00     98.73
04:55:35 PM     all      0.00      0.00      1.10      0.00      0.00     98.90
04:55:36 PM     all      0.00      0.00      1.27      0.00      0.00     98.73
04:55:37 PM     all      0.00      0.00      1.27      0.00      0.00     98.73
04:55:38 PM     all      0.08      0.00      0.76      0.08      0.00     99.07
04:55:39 PM     all      0.08      0.00      1.19      0.00      0.00     98.73
Average:        all      0.02      0.00      1.05      0.02      0.00     98.91
