Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

11:03:12 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:03:13 AM     all      0.08      0.00      6.65      0.17      0.00     93.10
11:03:14 AM     all      0.08      0.00      6.34      0.00      0.00     93.58
11:03:15 AM     all      0.08      0.00      7.29      0.00      0.00     92.63
11:03:16 AM     all      0.08      0.00      6.12      0.00      0.00     93.80
11:03:17 AM     all      0.08      0.00      7.54      0.00      0.00     92.37
11:03:18 AM     all      0.00      0.00      7.26      0.17      0.00     92.57
11:03:19 AM     all      0.08      0.00      7.98      0.00      0.00     91.94
11:03:20 AM     all      0.26      0.00      6.98      0.00      0.00     92.76
11:03:21 AM     all      0.00      0.00      7.87      0.00      0.00     92.13
11:03:22 AM     all      0.00      0.00      8.04      0.00      0.00     91.96
11:03:23 AM     all      0.00      0.00      8.50      0.00      0.00     91.50
11:03:24 AM     all      0.09      0.00      7.40      0.17      0.00     92.34
11:03:25 AM     all      0.00      0.00      8.45      0.00      0.00     91.55
11:03:26 AM     all      0.08      0.00      7.71      0.00      0.00     92.20
11:03:27 AM     all      0.08      0.00      8.19      0.00      0.00     91.73
11:03:28 AM     all      0.00      0.00      7.81      0.00      0.00     92.19
11:03:29 AM     all      0.08      0.00      9.45      0.17      0.00     90.30
11:03:30 AM     all      0.26      0.00      7.18      0.00      0.00     92.56
11:03:31 AM     all      0.08      0.00      9.24      0.00      0.00     90.67
11:03:32 AM     all      0.00      0.00      7.68      0.00      0.00     92.32
11:03:33 AM     all      0.08      0.00      8.38      0.00      0.00     91.54
11:03:34 AM     all      0.00      0.00      7.57      0.17      0.00     92.26
11:03:35 AM     all      0.00      0.00      7.14      0.00      0.00     92.86
11:03:36 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
11:03:37 AM     all      0.00      0.00      4.65      0.00      0.00     95.35
11:03:38 AM     all      0.08      0.00      6.12      0.00      0.00     93.80
11:03:39 AM     all      0.08      0.00      7.62      0.17      0.00     92.13
Average:        all      0.06      0.00      7.25      0.04      0.00     92.65
