#cwnd, Tput
1 2.5872
2 2394.6784
3 2615.8594
4 3846.9092
5 5030.1059
6 7249.0638
7 6637.5695
8 7979.1027
9 8936.4503
10 9245.8582
11 9380.8123
12 9823.5323
13 9857.2613
14 9866.3469 
15 9860.0483
16 9871.0548
