"[2,2,2,2,2]/4" 1899.9645 1869.2410 1899.5677 1882.5876 1920.0652 #0.5, 0.5, 0.5, 0.5, 0.5
"[2,2,1,1,1]/4" 2833.8049 2941.7893 1244.7423 1175.5737 1208.0269 #0.5, 0.5, 0.25, 0.25, 0.25
"[2,2,2,1,1]/4" 2457.8510 2415.0518 2416.4234 1076.7649 1063.4410  #0.5, 0.5, 0.5, 0.25, 0.25
"[3,2,2,1,1]/4" 3920.9630 2063.5469 1915.7961 824.5459 822.7105 #0.75, 0.5, 0.5, 0.25, 0.25
"[3,3,2,2,1]/4" 3304.3417 3345.8932 1257.3285 1283.1996 484.6307 #0.75, 0.75, 0.5, 0.5, 0.25
"[4,4,4,0,0]/4" 3229.3345 3296.6620 3207.9964 72.9212 54.5232    #1, 1, 1, 0, 0
