Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

04:02:28 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:02:29 PM     all      0.08      0.00      5.76      0.00      0.00     94.15
04:02:30 PM     all      0.00      0.00      6.27      0.08      0.00     93.65
04:02:31 PM     all      0.08      0.00      7.21      0.00      0.00     92.70
04:02:32 PM     all      0.00      0.00      6.81      0.00      0.00     93.19
04:02:33 PM     all      0.08      0.00      7.14      0.00      0.00     92.78
04:02:34 PM     all      0.00      0.00      7.11      0.00      0.00     92.89
04:02:35 PM     all      0.08      0.00      6.69      0.17      0.00     93.05
04:02:36 PM     all      0.00      0.00      6.63      0.00      0.00     93.37
04:02:37 PM     all      0.00      0.00      6.61      0.00      0.00     93.39
04:02:38 PM     all      0.17      0.00      7.35      0.00      0.00     92.48
04:02:39 PM     all      0.08      0.00      7.02      0.00      0.00     92.89
04:02:40 PM     all      0.17      0.00      6.54      0.17      0.00     93.12
04:02:41 PM     all      0.09      0.00      6.81      0.00      0.00     93.11
04:02:42 PM     all      0.00      0.00      6.90      0.00      0.00     93.10
04:02:43 PM     all      0.08      0.00      7.56      0.00      0.00     92.36
04:02:44 PM     all      0.00      0.00      7.03      0.00      0.00     92.97
04:02:45 PM     all      0.00      0.00      6.98      0.00      0.00     93.02
04:02:46 PM     all      0.09      0.00      7.52      0.17      0.00     92.22
04:02:47 PM     all      0.08      0.00      8.06      0.00      0.00     91.86
04:02:48 PM     all      0.08      0.00      8.45      0.00      0.00     91.47
04:02:49 PM     all      0.17      0.00      8.06      0.00      0.00     91.77
04:02:50 PM     all      1.10      0.00      7.90      0.00      0.00     90.99
04:02:51 PM     all      0.00      0.00      8.42      0.00      0.00     91.58
04:02:52 PM     all      0.00      0.00      7.85      0.17      0.00     91.98
04:02:53 PM     all      0.08      0.00      9.18      0.00      0.00     90.73
04:02:54 PM     all      0.09      0.00      8.20      0.00      0.00     91.72
04:02:55 PM     all      0.00      0.00      8.97      0.00      0.00     91.03
Average:        all      0.10      0.00      7.37      0.03      0.00     92.50
