Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

06:58:10 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:58:11 PM     all      0.10      0.00     15.56      0.00      0.00     84.34
06:58:12 PM     all      0.21      0.00     13.94      0.00      0.00     85.85
06:58:13 PM     all      0.21      0.00     14.33      0.00      0.00     85.46
06:58:14 PM     all      0.10      0.00     14.29      0.00      0.00     85.61
06:58:15 PM     all      0.10      0.00     14.99      0.00      0.00     84.90
06:58:16 PM     all      0.10      0.00     14.41      0.00      0.00     85.49
06:58:17 PM     all      0.00      0.00     15.79      0.00      0.00     84.21
06:58:18 PM     all      0.10      0.00     18.18      0.00      0.00     81.71
06:58:19 PM     all      0.21      0.00     15.67      0.21      0.00     83.92
06:58:20 PM     all      0.00      0.00     17.54      0.00      0.00     82.46
06:58:21 PM     all      0.00      0.00     13.20      0.00      0.00     86.80
06:58:22 PM     all      0.00      0.00     20.18      0.00      0.00     79.82
06:58:23 PM     all      0.10      0.00     19.71      0.00      0.00     80.19
06:58:24 PM     all      0.00      0.00     13.75      0.10      0.00     86.15
06:58:25 PM     all      0.00      0.00     15.15      0.00      0.00     84.85
06:58:26 PM     all      0.10      0.00     14.63      0.00      0.00     85.27
06:58:27 PM     all      0.00      0.00     15.37      0.00      0.00     84.63
06:58:28 PM     all      0.00      0.00     18.23      0.00      0.00     81.77
06:58:29 PM     all      0.00      0.00     26.66      0.10      0.00     73.24
06:58:30 PM     all      0.00      0.00     24.80      0.00      0.00     75.20
06:58:31 PM     all      0.00      0.00     20.87      0.00      0.00     79.13
06:58:32 PM     all      0.11      0.00     16.20      0.00      0.00     83.69
06:58:33 PM     all      0.54      0.00     12.02      0.00      0.00     87.45
06:58:34 PM     all      0.21      0.00     13.11      0.00      0.00     86.68
06:58:35 PM     all      0.32      0.00     13.77      0.00      0.00     85.91
06:58:36 PM     all      0.00      0.00     17.32      0.00      0.00     82.68
06:58:37 PM     all      0.10      0.00     17.84      0.00      0.00     82.06
Average:        all      0.10      0.00     16.62      0.02      0.00     83.27
