Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

06:55:50 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:55:51 PM     all      0.17      0.00     44.56      0.00      0.00     55.27
06:55:52 PM     all      0.17      0.00     47.06      0.00      0.00     52.77
06:55:53 PM     all      0.00      0.00     47.10      0.00      0.00     52.90
06:55:54 PM     all      0.09      0.00     46.67      0.00      0.00     53.24
06:55:55 PM     all      0.09      0.00     45.98      0.00      0.00     53.94
06:55:56 PM     all      0.17      0.00     45.64      0.00      0.00     54.18
06:55:57 PM     all      0.09      0.00     46.11      0.00      0.00     53.81
06:55:58 PM     all      0.17      0.00     46.49      0.08      0.00     53.25
06:55:59 PM     all      0.09      0.00     46.76      0.00      0.00     53.15
06:56:00 PM     all      0.09      0.00     46.29      0.00      0.00     53.62
06:56:01 PM     all      0.26      0.00     46.18      0.00      0.00     53.56
06:56:02 PM     all      0.26      0.00     45.89      0.00      0.00     53.85
06:56:03 PM     all      0.25      0.00     46.57      0.00      0.00     53.18
06:56:04 PM     all      0.34      0.00     45.59      0.17      0.00     53.89
06:56:05 PM     all      0.17      0.00     45.74      0.00      0.00     54.09
06:56:06 PM     all      0.09      0.00     45.31      0.00      0.00     54.60
06:56:07 PM     all      0.17      0.00     45.10      0.00      0.00     54.73
06:56:08 PM     all      0.09      0.00     43.79      0.00      0.00     56.12
06:56:09 PM     all      0.00      0.00     42.16      0.00      0.00     57.84
06:56:10 PM     all      0.18      0.00     38.54      0.00      0.00     61.28
06:56:11 PM     all      0.00      0.00     35.19      0.00      0.00     64.81
06:56:12 PM     all      0.09      0.00     38.61      0.00      0.00     61.30
06:56:13 PM     all      0.09      0.00     43.71      0.00      0.00     56.20
06:56:14 PM     all      0.17      0.00     45.85      0.09      0.00     53.89
06:56:15 PM     all      0.26      0.00     46.49      0.00      0.00     53.25
06:56:16 PM     all      0.25      0.00     47.65      0.00      0.00     52.09
06:56:17 PM     all      0.00      0.00     46.83      0.00      0.00     53.17
Average:        all      0.14      0.00     44.96      0.01      0.00     54.89
