#use stdev instead of min max
#conn count, official_avg, official_max, official_min, ours_avg, ours_max, ours_min
"100" 0.955 0.061 0.061 0.9635 0.068 0.068
"500" 7.533 0.342 0.342 8.2375 0.329 0.329 
"1K" 16.1665 0.288 0.288 16.312 0.428 0.428
"5K" 40.782 5.025 5.025 40.913 6.905 6.905
"10K" 46.141 3.037 3.037 48.046 4.436 4.436

