Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

11:27:14 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:27:15 AM     all      0.17      0.00     45.60      0.00      0.00     54.23
11:27:16 AM     all      0.34      0.00     47.76      0.00      0.00     51.90
11:27:17 AM     all      0.17      0.00     48.59      0.00      0.00     51.24
11:27:18 AM     all      0.24      0.00     49.36      0.00      0.00     50.40
11:27:19 AM     all      0.16      0.00     48.28      0.00      0.00     51.56
11:27:20 AM     all      0.16      0.00     49.69      0.00      0.00     50.16
11:27:21 AM     all      0.00      0.00     50.42      0.00      0.00     49.58
11:27:22 AM     all      0.23      0.00     49.54      0.00      0.00     50.23
11:27:23 AM     all      0.16      0.00     48.84      0.00      0.00     51.01
11:27:24 AM     all      0.23      0.00     48.95      0.00      0.00     50.82
11:27:25 AM     all      0.16      0.00     48.54      0.08      0.00     51.22
11:27:26 AM     all      0.16      0.00     49.52      0.00      0.00     50.32
11:27:27 AM     all      0.08      0.00     49.35      0.00      0.00     50.57
11:27:28 AM     all      0.24      0.00     49.51      0.00      0.00     50.24
11:27:29 AM     all      0.17      0.00     48.66      0.00      0.00     51.17
11:27:30 AM     all      0.42      0.00     48.61      0.00      0.00     50.97
11:27:31 AM     all      0.17      0.00     47.75      0.00      0.00     52.08
11:27:32 AM     all      0.09      0.00     47.99      0.00      0.00     51.92
11:27:33 AM     all      0.25      0.00     48.09      0.00      0.00     51.65
11:27:34 AM     all      0.08      0.00     48.64      0.00      0.00     51.27
11:27:35 AM     all      0.09      0.00     48.51      0.17      0.00     51.24
11:27:36 AM     all      0.08      0.00     49.07      0.00      0.00     50.85
11:27:37 AM     all      0.17      0.00     48.82      0.00      0.00     51.02
11:27:38 AM     all      0.34      0.00     48.51      0.00      0.00     51.15
11:27:39 AM     all      0.09      0.00     48.38      0.00      0.00     51.54
11:27:40 AM     all      0.26      0.00     48.03      0.00      0.00     51.71
11:27:41 AM     all      0.17      0.00     48.81      0.00      0.00     51.02
Average:        all      0.18      0.00     48.68      0.01      0.00     51.13
