Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

06:25:30 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:25:31 PM     all      0.18      0.00     12.39      0.00      0.00     87.43
06:25:32 PM     all      0.27      0.00     12.51      0.00      0.00     87.22
06:25:33 PM     all      0.09      0.00     11.27      0.18      0.00     88.46
06:25:34 PM     all      0.09      0.00     12.41      0.00      0.00     87.50
06:25:35 PM     all      0.18      0.00     13.60      0.00      0.00     86.22
06:25:36 PM     all      0.09      0.00     13.54      0.00      0.00     86.37
06:25:37 PM     all      0.09      0.00     14.45      0.00      0.00     85.46
06:25:38 PM     all      0.17      0.00     14.76      0.09      0.00     84.98
06:25:39 PM     all      0.18      0.00     13.55      0.00      0.00     86.27
06:25:40 PM     all      0.18      0.00     12.54      0.00      0.00     87.28
06:25:41 PM     all      0.09      0.00     12.54      0.00      0.00     87.37
06:25:42 PM     all      0.09      0.00     14.24      0.00      0.00     85.68
06:25:43 PM     all      0.18      0.00     13.07      0.00      0.00     86.76
06:25:44 PM     all      0.00      0.00     13.70      0.09      0.00     86.21
06:25:45 PM     all      0.00      0.00     13.41      0.00      0.00     86.59
06:25:46 PM     all      0.09      0.00     14.45      0.00      0.00     85.46
06:25:47 PM     all      0.00      0.00     13.66      0.00      0.00     86.34
06:25:48 PM     all      0.36      0.00     12.30      0.00      0.00     87.34
06:25:49 PM     all      0.00      0.00     12.79      0.00      0.00     87.21
06:25:50 PM     all      0.18      0.00     12.44      0.09      0.00     87.29
06:25:51 PM     all      0.09      0.00     13.26      0.00      0.00     86.65
06:25:52 PM     all      0.00      0.00     12.09      0.00      0.00     87.91
06:25:53 PM     all      0.09      0.00     12.38      0.00      0.00     87.53
06:25:54 PM     all      0.18      0.00     12.76      0.00      0.00     87.07
06:25:55 PM     all      0.09      0.00     13.14      0.18      0.00     86.59
06:25:56 PM     all      0.09      0.00     12.32      0.00      0.00     87.59
06:25:57 PM     all      0.18      0.00     13.54      0.00      0.00     86.28
Average:        all      0.12      0.00     13.09      0.02      0.00     86.77
