Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

06:25:29 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:25:30 PM     all      0.17      0.00     14.42      0.00      0.00     85.41
06:25:31 PM     all      0.09      0.00     14.38      0.00      0.00     85.53
06:25:32 PM     all      0.00      0.00     15.70      0.08      0.00     84.21
06:25:33 PM     all      0.08      0.00     15.43      0.00      0.00     84.49
06:25:34 PM     all      0.00      0.00     15.82      0.00      0.00     84.18
06:25:35 PM     all      0.08      0.00     15.89      0.00      0.00     84.02
06:25:36 PM     all      0.17      0.00     15.50      0.00      0.00     84.34
06:25:37 PM     all      0.17      0.00     16.93      0.00      0.00     82.90
06:25:38 PM     all      0.08      0.00     16.25      0.08      0.00     83.59
06:25:39 PM     all      0.17      0.00     15.98      0.00      0.00     83.85
06:25:40 PM     all      0.00      0.00     16.39      0.00      0.00     83.61
06:25:41 PM     all      0.08      0.00     15.71      0.00      0.00     84.21
06:25:42 PM     all      0.09      0.00     15.05      0.00      0.00     84.86
06:25:43 PM     all      0.09      0.00     14.77      0.17      0.00     84.97
06:25:44 PM     all      0.17      0.00     15.54      0.00      0.00     84.29
06:25:45 PM     all      0.00      0.00     15.84      0.00      0.00     84.16
06:25:46 PM     all      0.17      0.00     15.40      0.00      0.00     84.43
06:25:47 PM     all      0.17      0.00     15.21      0.00      0.00     84.62
06:25:48 PM     all      0.17      0.00     16.35      0.08      0.00     83.40
06:25:49 PM     all      0.17      0.00     15.54      0.00      0.00     84.29
06:25:50 PM     all      1.35      0.00     15.70      0.00      0.00     82.95
06:25:51 PM     all      0.17      0.00     15.61      0.00      0.00     84.22
06:25:52 PM     all      0.34      0.00     15.90      0.00      0.00     83.77
06:25:53 PM     all      0.00      0.00     14.68      0.17      0.00     85.15
06:25:54 PM     all      0.17      0.00     15.59      0.00      0.00     84.25
06:25:55 PM     all      0.08      0.00     15.38      0.00      0.00     84.53
06:25:56 PM     all      0.17      0.00     16.18      0.00      0.00     83.65
Average:        all      0.16      0.00     15.60      0.02      0.00     84.22
