#MSS, Tput
1 1653.8162
2 2522.8066
3 2843.9802
4 3807.2385
5 4774.4674
6 6044.5469
7 6629.9468
8 7455.8257
9 8721.8044
10 9404.7311
11 9760.1426
12 9835.0139
13 9831.5242
14 9861.6375
15 9853.0425
16 9859.8603           
