#MSS, Tput
0.25 2.7882
0.5 205.5988
1 342.0854
2 651.4994
4 1120.4610
8 2007.6348
16 3171.9509
32 3682.3673
64 5336.9121
128 7040.7058
160 9246.6380
256 9337.0370        
