Linux 4.6.0-htbnomark (node-1.cpuoverhead.networklatency-pg0.wisc.cloudlab.us) 	03/26/2017 	_x86_64_	(40 CPU)

08:12:06 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:13:35 AM     all      0.03      0.00      0.08      0.00      0.00     99.90
08:13:36 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:13:37 AM     all      0.05      0.00      0.18      0.00      0.00     99.77
08:13:38 AM     all      0.03      0.00      0.35      0.05      0.00     99.57
08:13:39 AM     all      0.05      0.00      0.15      0.00      0.00     99.80
08:13:40 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:13:41 AM     all      0.03      0.00      0.13      0.00      0.00     99.85
08:13:42 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:13:43 AM     all      0.05      0.00      0.10      0.08      0.00     99.77
08:13:44 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:13:45 AM     all      0.00      0.00      0.15      0.00      0.00     99.85
08:13:46 AM     all      0.03      0.00      0.08      0.00      0.00     99.90
Average:        all      0.02      0.00      0.11      0.01      0.00     99.85
