Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

11:30:48 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:30:49 AM     all      0.26      0.00     43.72      0.00      0.00     56.02
11:30:50 AM     all      1.84      0.00     47.49      0.00      0.00     50.67
11:30:51 AM     all      0.30      0.00     50.49      0.00      0.00     49.20
11:30:52 AM     all      0.08      0.00     49.96      0.08      0.00     49.89
11:30:53 AM     all      0.00      0.00     47.84      0.00      0.00     52.16
11:30:54 AM     all      0.16      0.00     47.01      0.00      0.00     52.83
11:30:55 AM     all      0.22      0.00     47.43      0.00      0.00     52.35
11:30:56 AM     all      0.36      0.00     46.59      0.00      0.00     53.05
11:30:57 AM     all      0.16      0.00     38.38      0.08      0.00     61.38
11:30:58 AM     all      0.17      0.00     45.10      0.00      0.00     54.73
11:30:59 AM     all      0.17      0.00     48.32      0.00      0.00     51.52
11:31:00 AM     all      0.34      0.00     47.76      0.00      0.00     51.91
11:31:01 AM     all      0.17      0.00     48.31      0.00      0.00     51.52
11:31:02 AM     all      0.09      0.00     47.78      0.00      0.00     52.14
11:31:03 AM     all      0.17      0.00     47.85      0.00      0.00     51.98
11:31:04 AM     all      0.08      0.00     49.12      0.00      0.00     50.80
11:31:05 AM     all      0.09      0.00     48.16      0.00      0.00     51.75
11:31:06 AM     all      0.17      0.00     48.48      0.00      0.00     51.35
11:31:07 AM     all      0.08      0.00     49.07      0.00      0.00     50.84
11:31:08 AM     all      0.25      0.00     48.22      0.00      0.00     51.53
11:31:09 AM     all      0.17      0.00     48.08      0.09      0.00     51.67
11:31:10 AM     all      0.17      0.00     48.61      0.00      0.00     51.22
11:31:11 AM     all      0.17      0.00     48.21      0.00      0.00     51.62
11:31:12 AM     all      0.00      0.00     49.54      0.00      0.00     50.46
11:31:13 AM     all      0.17      0.00     48.47      0.00      0.00     51.36
11:31:14 AM     all      0.17      0.00     48.86      0.17      0.00     50.80
11:31:15 AM     all      0.34      0.00     47.73      0.00      0.00     51.93
Average:        all      0.23      0.00     47.65      0.02      0.00     52.10
